# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1786562695938000000,1786562755937000000,0
StorageLockContext.competingThreads.avg,1786562695938000000,1786562755937000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValue.clear.count,1786562695938000000,1786562755937000000,0
workspaceModel.on.before.changed.ms,1786562695938000000,1786562755937000000,0
workspaceModel.init.bridges.ms,1786562695938000000,1786562755937000000,0
workspaceModel.collect.changes.ms,1786562695938000000,1786562755937000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1786562695938000000,1786562755937000000,0
workspaceModel.updates.precise.ms,1786562695938000000,1786562755937000000,0
workspaceModel.on.changed.ms,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValue.total.get.count,1786562695938000000,1786562755937000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1786562695938000000,1786562755937000000,0
workspaceModel.updates.count,1786562695938000000,1786562755937000000,0
workspaceModel.full.replace.project.model.ms,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.init.ms,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.instances.count,1786562695938000000,1786562755937000000,0
workspaceModel.loading.from.cache.ms,1786562695938000000,1786562755937000000,0
workspaceModel.replace.project.model.ms,1786562695938000000,1786562755937000000,0
workspaceModel.initializing.ms,1786562695938000000,1786562755937000000,0
workspaceModel.loading.total.ms,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValue.calculated.count,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValueWithParameters.clear.count,1786562695938000000,1786562755937000000,0
workspaceModel.update.unloaded.entities.ms,1786562695938000000,1786562755937000000,0
workspaceModel.pre.handlers.ms,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValue.from.cache.count,1786562695938000000,1786562755937000000,1
workspaceModel.updates.ms,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1786562695938000000,1786562755937000000,0
workspaceModel.to.snapshot.ms,1786562695938000000,1786562755937000000,0
workspaceModel.check.recursive.update.ms,1786562695938000000,1786562755937000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1786562695938000000,1786562755937000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1786562695938000000,1786562755937000000,0
Indexes.allKeys.lookupDurationAvgMs,1786562695938000000,1786562755937000000,0.0
Indexing.writesQueuedMax,1786562695938000000,1786562755937000000,0
